ID,warehouse_ID,productId,availableStock
b9b3e451-c023-4884-aafa-fc7b5decc2ef,3a919b4f-b681-4e5b-b33a-66b22c1cbcbb,P007,24
b3bf2693-300f-4af6-9d70-9c3b23975d61,3a919b4f-b681-4e5b-b33a-66b22c1cbcbb,P010,68
36b77117-d7c4-4038-971a-969dcd127726,3a919b4f-b681-4e5b-b33a-66b22c1cbcbb,P003,18
19458dba-e614-47be-a5fe-6b03bcc354ba,609340fb-80d7-42ad-ba78-4f49bba72072,P008,90
721f0ec0-1be1-4eeb-95b3-01272743dc89,609340fb-80d7-42ad-ba78-4f49bba72072,P001,112
3df64739-c8f7-4a33-aa64-2d93bd42569a,609340fb-80d7-42ad-ba78-4f49bba72072,P004,78
5edc2dde-3c66-42e9-8095-d39830297ca0,991efc94-ad41-4a35-b043-34266eb62503,P009,26
f4d63f9b-f403-4e99-9ec2-e6f9d43f33dc,991efc94-ad41-4a35-b043-34266eb62503,P002,64
91e62c4b-e0db-45b3-96a7-71f8300e19e0,991efc94-ad41-4a35-b043-34266eb62503,P005,90
6001635e-c20b-4db2-a75f-7c3264386615,e63b4edb-5750-4e05-859c-b8b0c84a2ade,P010,64
b0557d45-4c6f-40d7-ad43-2cf17c2b5fe1,e63b4edb-5750-4e05-859c-b8b0c84a2ade,P003,137
b63d7f78-1313-49c8-936d-c0b8e3634180,e63b4edb-5750-4e05-859c-b8b0c84a2ade,P006,111
